,quantifier,dataset,abs_error,run_time
1558,(REG)Top-6+W,electricity-normalized,0.053477197057190826,2.2472540855002263
1559,(REG)Top-6+W,elevators,0.027863112002103375,0.7396188125000844
1560,(REG)Top-6+W,file22f0e4a679,0.011235823432185987,0.22496175400017815
1561,(REG)Top-6+W,file79b563a1a18,0.045418159086922004,0.3970797740002672
1562,(REG)Top-6+W,file7b5365fa741c,0.03843101245539927,0.4396482084998388
1563,(REG)Top-6+W,fri_c2_1000_10,0.07031004003112189,0.32012521600026955
1564,(REG)Top-6+W,fried,0.0356176210201981,1.7773507154998334
1565,(REG)Top-6+W,gina_agnostic,0.03891468578118634,0.27666417249965886
1566,(REG)Top-6+W,houses,0.012881745398004088,0.8972491745001571
1567,(REG)Top-6+W,jm1-processed,0.0908170859180352,0.6328426105002655
1568,(REG)Top-6+W,kdd_JapaneseVowels,0.015579007865061669,0.4581329205000293
1569,(REG)Top-6+W,kin8nm,0.05927311761802117,0.40835664949989225
1570,(REG)Top-6+W,letter-recognition,0.08580454068121746,0.9154712205000578
1571,(REG)Top-6+W,magic,0.053823094795989145,1.0241822010003307
1572,(REG)Top-6+W,mozilla,0.03793173096015478,0.8909861490001458
1573,(REG)Top-6+W,namao,0.015784120088243397,0.2883109910002713
1574,(REG)Top-6+W,occupancy,0.007088838972763692,1.0534248854999715
1575,(REG)Top-6+W,page-blocks,0.025705660353284636,0.2822511524999936
1576,(REG)Top-6+W,parity5_plus_5,0.26786992882490834,0.29156517149989664
1577,(REG)Top-6+W,pendigits,0.015795038555349545,0.21043864000035678
1578,(REG)Top-6+W,phoneme,0.055669445024298186,0.4826464274996397
1579,(REG)Top-6+W,php50jXam,0.00813157793049576,0.2966831025000101
1580,(REG)Top-6+W,phpGUrE90,0.03958796886986142,0.3093108219996793
1581,(REG)Top-6+W,phpMD2hR6,0.03741604229210753,4.094967929000359
1582,(REG)Top-6+W,phpV5QYya,0.020452563997028064,0.67438400800007
1583,(REG)Top-6+W,phpWfYmlu,0.04948140034558156,0.5602018349996797
1584,(REG)Top-6+W,phphQEck0,0.020803318538704665,12.293051269000298
1585,(REG)Top-6+W,phplE7q6h,0.14222434365958778,0.8665669829999569
1586,(REG)Top-6+W,phpmPOD5A,0.3062819824395117,1.3634667594999883
1587,(REG)Top-6+W,phpwRjVjk,0.07701697256975748,0.47416788749951594
1588,(REG)Top-6+W,phpxijhaP,0.010716425155147978,0.5067736374999186
1589,(REG)Top-6+W,pol,0.02901777930246698,0.8576025945000038
1590,(REG)Top-6+W,pollen,0.3923743681253605,0.383373668999775
1591,(REG)Top-6+W,puma32H,0.11505447095139733,0.3849232419999316
1592,(REG)Top-6+W,puma8NH,0.04065472822664387,0.5862255680002636
1593,(REG)Top-6+W,quake,0.30654848671237483,0.34739873049993547
1594,(REG)Top-6+W,space_ga,0.056892054000101125,0.04913988599999352
1595,(REG)Top-6+W,spambase,0.021900242685825817,0.4130404470008216
1596,(REG)Top-6+W,sylva_prior,0.005295196173483452,0.6322288210002079
1597,(REG)Top-6+W,visualizing_soil,0.004733421142397265,0.574635676999842
1598,(REG)Top-6+W,wind,0.02842465260343646,0.5239144195000154
1599,(REG)Top-6+W,winetype,0.005685066330907385,0.31792215150000624
1600,(REG)Top-7,1043_ada_agnostic,0.03854722072345546,0.43516066099990897
1601,(REG)Top-7,1460_banana,0.09361924383102753,0.4712522775001344
1602,(REG)Top-7,1462_banknote-authentication,0.005493079111370254,0.29339626249982753
1603,(REG)Top-7,1466_cardiotocography,0.0,0.1456393994999689
1604,(REG)Top-7,1475_first-order-theorem-proving,0.06852043616340468,0.5021327839998685
1605,(REG)Top-7,1479_hill-valley,0.06008331199982265,0.269128410999956
1606,(REG)Top-7,1485_madelon,0.28955943435697007,0.3621727065000141
1607,(REG)Top-7,1489_phoneme,0.06129460875934231,0.472192842499735
1608,(REG)Top-7,1494_qsar-biodeg,0.0444948752571972,0.300986989999983
1609,(REG)Top-7,1496_ringnorm,0.0530200930614301,0.47963342499999273
1610,(REG)Top-7,1497_wall-robot-navigation,0.05694484344922171,0.4774990764998256
1611,(REG)Top-7,1504_steel-plates-fault,0.0,0.3339395224999589
1612,(REG)Top-7,1507_twonorm,0.00996361802493774,0.47795908999994025
1613,(REG)Top-7,1526_wall-robot-navigation,0.06347592124795297,0.47455123950019695
1614,(REG)Top-7,1535_volcanoes-b5,0.04648131357722482,0.6513432795000699
1615,(REG)Top-7,1538_volcanoes-d1,0.0505222150423372,0.602760164500005
1616,(REG)Top-7,1539_volcanoes-d2,0.08392372025417644,0.6173436584997671
1617,(REG)Top-7,1540_volcanoes-d3,0.05075037924555642,0.620716959000074
1618,(REG)Top-7,1541_volcanoes-d4,0.08667890509235572,0.6141669409999304
1619,(REG)Top-7,1566_hill-valley,0.06054116692105091,0.30664945950042233
1620,(REG)Top-7,182_satimage,0.010223208585193289,0.33881793699940316
1621,(REG)Top-7,23_cmc,0.10410714511166264,0.33637199499959025
1622,(REG)Top-7,28_optdigits,0.0181072790056451,0.5058175940000729
1623,(REG)Top-7,294_satellite_image,0.00953238560827437,0.5337168909999127
1624,(REG)Top-7,2dplanes,0.03509040116440716,2.0160671795002054
1625,(REG)Top-7,30_page-blocks,0.02909999892807734,0.2955287539999517
1626,(REG)Top-7,312_scene,0.019109139227013863,0.3745131099994069
1627,(REG)Top-7,375_JapaneseVowels,0.016823398945957687,0.4790928900001745
1628,(REG)Top-7,40474_thyroid-allbp,0.04928473343234952,0.3937909915001728
1629,(REG)Top-7,40475_thyroid-allhyper,0.049079543541077936,0.39091781000030096
1630,(REG)Top-7,40733_yeast,0.08003440001969965,0.32872849299988954
1631,(REG)Top-7,44_spambase,0.021885404867934985,0.43470403849982175
1632,(REG)Top-7,4538_GesturePhaseSegmentationProcessed,0.10120092211252656,0.6928273265002645
1633,(REG)Top-7,60_waveform-5000,0.0302320301250739,0.47631901550001204
1634,(REG)Top-7,679_rmftsa_sleepdata,0.09695866276018274,0.3242049109999971
1635,(REG)Top-7,AedesQuinx,0.038039280325129696,1.2960604655004682
1636,(REG)Top-7,AedesSex,0.010331665970299173,1.2815440425000997
1637,(REG)Top-7,ArabicDigit,0.007705720538070084,0.6248758225001803
1638,(REG)Top-7,BNG,0.010240663038871427,1.927344585999963
1639,(REG)Top-7,BNG_breast-w,0.010240663038871427,1.931441483500148
1640,(REG)Top-7,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.32794518742908507,0.3408796595002059
1641,(REG)Top-7,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1,0.3793609573523024,0.13794608249960216
1642,(REG)Top-7,HTRU,0.017605531444509097,0.9758650629998192
1643,(REG)Top-7,MagicTelescope,0.05385602057763326,0.8209519690003253
1644,(REG)Top-7,abalone,0.04110991823935243,0.44378523349956595
1645,(REG)Top-7,ailerons,0.027811223993509344,0.6429232895002315
1646,(REG)Top-7,anuranCalls,0.022428543564995553,0.5039418574999763
1647,(REG)Top-7,balloon,0.04764795415146078,0.28504467399961864
1648,(REG)Top-7,bank8FM,0.017253602542987027,0.40170383150007183
1649,(REG)Top-7,churn,0.0583275437895419,0.2609924629998204
1650,(REG)Top-7,clean2,1.9944318440864726e-05,0.34534732000031
1651,(REG)Top-7,click-prediction,0.1372403881359962,2.0431297889999223
1652,(REG)Top-7,cmc,0.09515594437892368,0.33767960800018043
1653,(REG)Top-7,covtype_reduced,0.05417397086610116,0.6164238224999826
1654,(REG)Top-7,cpu_act,0.01974618440313075,0.38530617350041213
1655,(REG)Top-7,default_credit_card_clients,0.08039955938688202,1.5085668809992603
1656,(REG)Top-7,delta_ailerons,0.017938637024476855,0.35612100199983615
1657,(REG)Top-7,eeg,0.13874029630851514,0.9071332779998739
1658,(REG)Top-7,electricity-normalized,0.05443535175650096,2.272868242000277
1659,(REG)Top-7,elevators,0.029136562685776385,0.7398832690001109
1660,(REG)Top-7,file22f0e4a679,0.011214833265690427,0.27105471400034725
1661,(REG)Top-7,file79b563a1a18,0.04865451924002368,0.39734953300039705
1662,(REG)Top-7,file7b5365fa741c,0.03914263295049222,0.43991362299968384
1663,(REG)Top-7,fri_c2_1000_10,0.07510804161590753,0.32039478150027206
1664,(REG)Top-7,fried,0.034990864432661,1.9986727799999608
1665,(REG)Top-7,gina_agnostic,0.03925953468216112,0.40320257599976683
1666,(REG)Top-7,houses,0.012939470436714041,0.8975343740000972
1667,(REG)Top-7,jm1-processed,0.09060436356426553,0.6813731335000921
1668,(REG)Top-7,kdd_JapaneseVowels,0.016823398945957687,0.45838549600006445
1669,(REG)Top-7,kin8nm,0.05802985554971344,0.6240667889999895
1670,(REG)Top-7,letter-recognition,0.08016967904219192,1.1344747205001295
1671,(REG)Top-7,magic,0.05345784839709253,1.0493999780002015
1672,(REG)Top-7,mozilla,0.03752419721268956,0.8912641970000732
1673,(REG)Top-7,namao,0.016226006640753007,1.646634260500341
1674,(REG)Top-7,occupancy,0.0068319597302543954,1.0781892460000018
1675,(REG)Top-7,page-blocks,0.02909999892807734,0.28250401899987987
1676,(REG)Top-7,parity5_plus_5,0.2900028740028143,0.29181069750002275
1677,(REG)Top-7,pendigits,0.01013927233747993,0.2105487115002324
1678,(REG)Top-7,phoneme,0.059610908047105234,0.4829176264995658
1679,(REG)Top-7,php50jXam,0.005204265600954898,0.29684449850006783
1680,(REG)Top-7,phpGUrE90,0.04458391515890745,0.3095579404996533
1681,(REG)Top-7,phpMD2hR6,0.03898297960781159,4.119670147500292
1682,(REG)Top-7,phpV5QYya,0.020662211487540452,0.674637259999945
1683,(REG)Top-7,phpWfYmlu,0.050365409061546844,0.5604684289997567
1684,(REG)Top-7,phphQEck0,0.021030925719279968,12.567716396499945
1685,(REG)Top-7,phplE7q6h,0.1395092393005567,0.891825353999866
1686,(REG)Top-7,phpmPOD5A,0.47691443904696434,1.3637230914998872
1687,(REG)Top-7,phpwRjVjk,0.11610392060931204,0.4744214224997086
1688,(REG)Top-7,phpxijhaP,0.009552560324003747,0.5068769304999295
1689,(REG)Top-7,pol,0.02886697775646593,0.8577640115002214
1690,(REG)Top-7,pollen,0.40709822952546454,0.38568889899994246
1691,(REG)Top-7,puma32H,0.11560909954244832,0.5884902604999661
1692,(REG)Top-7,puma8NH,0.0431937816875356,0.5864909890001035
1693,(REG)Top-7,quake,0.3309930164241024,0.3475556450000113
1694,(REG)Top-7,space_ga,0.04243058018209572,0.05175463249986929
1695,(REG)Top-7,spambase,0.021868104570029915,0.43749013200093034
1696,(REG)Top-7,sylva_prior,0.0049925700069139165,0.8343527520002499
1697,(REG)Top-7,visualizing_soil,0.004373165895197215,0.5993684819997906
1698,(REG)Top-7,wind,0.02839175557714771,0.5241763519999586
1699,(REG)Top-7,winetype,0.005614739305025588,0.5194483380000929
1700,(REG)Top-7+W,1043_ada_agnostic,0.0396835332023357,0.43516066099990897
1701,(REG)Top-7+W,1460_banana,0.0832878973138317,0.4712522775001344
1702,(REG)Top-7+W,1462_banknote-authentication,0.007141899995009271,0.29339626249982753
1703,(REG)Top-7+W,1466_cardiotocography,0.00025572443019013843,0.1456393994999689
1704,(REG)Top-7+W,1475_first-order-theorem-proving,0.06821194201876822,0.5021327839998685
1705,(REG)Top-7+W,1479_hill-valley,0.06207427475070601,0.269128410999956
1706,(REG)Top-7+W,1485_madelon,0.262273192781672,0.3621727065000141
1707,(REG)Top-7+W,1489_phoneme,0.06038848407465461,0.472192842499735
1708,(REG)Top-7+W,1494_qsar-biodeg,0.04091277349637018,0.300986989999983
1709,(REG)Top-7+W,1496_ringnorm,0.05255381353004257,0.47963342499999273
1710,(REG)Top-7+W,1497_wall-robot-navigation,0.05655311037125351,0.4774990764998256
1711,(REG)Top-7+W,1504_steel-plates-fault,0.000645464096831051,0.3339395224999589
1712,(REG)Top-7+W,1507_twonorm,0.009953287824025854,0.47795908999994025
1713,(REG)Top-7+W,1526_wall-robot-navigation,0.05927149944359522,0.47455123950019695
1714,(REG)Top-7+W,1535_volcanoes-b5,0.04991493236259801,0.6513432795000699
1715,(REG)Top-7+W,1538_volcanoes-d1,0.04845942412221646,0.602760164500005
1716,(REG)Top-7+W,1539_volcanoes-d2,0.08305127507871297,0.6173436584997671
1717,(REG)Top-7+W,1540_volcanoes-d3,0.05165339262037783,0.620716959000074
1718,(REG)Top-7+W,1541_volcanoes-d4,0.09386552392779297,0.6141669409999304
1719,(REG)Top-7+W,1566_hill-valley,0.06276319534820425,0.30664945950042233
1720,(REG)Top-7+W,182_satimage,0.010510822619208793,0.33881793699940316
1721,(REG)Top-7+W,23_cmc,0.10092799770551875,0.33637199499959025
1722,(REG)Top-7+W,28_optdigits,0.01758580372806408,0.5058175940000729
1723,(REG)Top-7+W,294_satellite_image,0.009505385515976348,0.5337168909999127
1724,(REG)Top-7+W,2dplanes,0.03444022533937058,2.0160671795002054
1725,(REG)Top-7+W,30_page-blocks,0.026205851534840164,0.2955287539999517
1726,(REG)Top-7+W,312_scene,0.01811997426611794,0.3745131099994069
1727,(REG)Top-7+W,375_JapaneseVowels,0.015986643483837847,0.4790928900001745
1728,(REG)Top-7+W,40474_thyroid-allbp,0.04840068969420753,0.3937909915001728
1729,(REG)Top-7+W,40475_thyroid-allhyper,0.04858198472274969,0.39091781000030096
1730,(REG)Top-7+W,40733_yeast,0.08468650757284885,0.32872849299988954
1731,(REG)Top-7+W,44_spambase,0.022080748395101626,0.43470403849982175
1732,(REG)Top-7+W,4538_GesturePhaseSegmentationProcessed,0.10083511936191882,0.6928273265002645
1733,(REG)Top-7+W,60_waveform-5000,0.02994681929441456,0.47631901550001204
